Keyword,URL,Position08/22/2014,Trend08/15/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
groupon,www.groupon.com/,1,0,brand,"Groupon: Deals and Coupons for Restaurants, Fitness ...",news,3259166,868096,0.06,,,
groupon chicago,www.groupon.com/local/chicago,1,0,brand,Chicago Deals - Best Deals &amp; Coupons in Chicago | Groupon,"video,news",45750,12184,0.18,,,
groupon chicago,www.groupon.com/travel/chicago/hotels,2,0,brand,Chicago Hotels - Deals in Chicago | Groupon,"video,news",45750,1104,0.18,,,
groupon chicago,www.groupon.com/getaways,3,0,brand,All Chicago Getaways Deals | Groupon,"video,news",45750,880,0.18,,,
groupons,www.groupon.com/,1,0,brand,"Groupon: Deals and Coupons for Restaurants, Fitness ...",news,40427,10768,0.05,,,
groupon las vegas,www.groupon.com/local/las-vegas,1,0,brand,Las Vegas Deals - Best Deals &amp; Coupons in Las ... - Groupon,video,25852,6884,0.21,,,
groupon las vegas,www.groupon.com/travel/las-vegas/hotels,2,0,brand,Las Vegas Hotels - Deals in Las Vegas | Groupon,video,25852,624,0.21,,,
groupon las vegas,www.groupon.com/deals/the-high-roller-at-the-linq,3,0,brand,The High Roller at the LINQ Las Vegas Deal of ... - Groupon,video,25852,496,0.21,,,
groupon atlanta,www.groupon.com/local/atlanta,1,0,brand,Atlanta Deals - Best Deals &amp; Coupons in Atlanta | Groupon,,21683,5772,0.13,,,
groupon atlanta,www.groupon.com/biz/atlanta/atlanta-rocks,2,0,brand,"Atlanta Rocks Intown - Atlanta, GA | Groupon",,21683,524,0.13,,,
groupon atlanta,www.groupon.com/biz/atlanta/loca-luna,3,0,brand,"Loca Luna - Atlanta, GA | Groupon",,21683,416,0.13,,,
group on,www.groupon.com/,1,0,brand,"Groupon: Deals and Coupons for Restaurants, Fitness ...",,20691,5508,0.2,,,
groupon nyc,www.groupon.com/local/new-york-city,1,0,brand,New York City | Groupon,,38880,5500,0.07,,,
groupon nyc,www.groupon.com/local/new-york,2,0,brand,New York Deals - Best Deals &amp; Coupons in New ... - Groupon,,38880,1984,0.07,,,
groupon nyc,www.groupon.com/travel/new-york-city/hotels,3,0,brand,New York City - Groupon,,38880,1488,0.07,,,
groupon houston,www.groupon.com/local/houston,1,0,brand,Houston Deals - Best Deals &amp; Coupons in Houston | Groupon,video,20316,5408,0.05,,,
groupon houston,www.groupon.com/biz/houston/segway-tours-of-houston,2,0,brand,"Segway Tours of Houston - Houston, TX | Groupon",video,20316,492,0.05,,,
groupon houston,www.groupon.com/biz/houston/sambuca-houston,3,0,brand,"Sambuca - Houston, TX | Groupon",video,20316,388,0.05,,,
groupon dallas,www.groupon.com/local/dallas,1,0,brand,Dallas Deals - Best Deals &amp; Coupons in Dallas | Groupon,video,20112,5356,0.09,,,
groupon dallas,www.groupon.com/travel/dallas/hotels,2,0,brand,Dallas Hotels - Deals in Dallas | Groupon,video,20112,484,0.09,,,
